,Brand,Model,Variant,Year,Selling_Price,KM_Driven,Fuel,Transmission,Location
8418,Ford,Ecosport,1.5 TDCi Titanium Plus,2013," 4,25,000","62,000 km",Diesel,Manual,"Ashok Vihar, Delhi, Delhi"
8419,Tata,Nano,2009-2011 Cx BSIV,2010," 75,000","57,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
8420,Toyota,Etios Liva,1.2 VX,2012," 3,80,000","46,700 km",Petrol,Manual,"Umiya Chowk, Rajkot, Gujarat"
8421,Hyundai,EON,Era +,2017," 3,25,000","35,000 km",Petrol,Manual,"Kalase Nagar, Mohol, Maharashtra"
8422,Honda,Civic,V,2008," 2,35,000","62,000 km",Petrol,Manual,"Rajendra Place, Delhi, Delhi"
8423,Toyota,Innova Crysta,2.8Z Automatic,2016," 16,95,000","55,000 km",Diesel,Automatic,"Greater Noida West, Noida, Uttar Pradesh"
8424,Mahindra,Xylo,2009-2011 E4 BS IV,2010," 3,05,000","127,000 km",Diesel,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
8425,Maruti Suzuki,Ertiga,VXI CNG,2017," 6,80,000","62,000 km",CNG & Hybrids,Manual,"Patel Nagar 3, Ghaziabad, Uttar Pradesh"
8426,Land Rover,Range Rover Evoque,Petrol HSE Dynamic,2019," 37,50,000","17,000 km",Petrol,Automatic,"Greater Kailash 1, Delhi, Delhi"
8427,Maruti Suzuki,Eeco,5 STR With AC Plus HTR CNG,2013," 3,10,000","88,000 km",CNG & Hybrids,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
8428,Hyundai,Elite i20,Sportz (O) 1.4,2020," 6,66,000","14,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
8429,Toyota,Innova,2.5 G (Diesel) 8 Seater,2014," 8,00,000","123,000 km",Diesel,Manual,"Udhana Gam, Surat, Gujarat"
8430,Renault,Duster,2012-2015 85PS Diesel RxL,2012," 3,25,000","140,000 km",Diesel,Manual,"Varun Niketan, Delhi, Delhi"
8431,Mahindra,XUV300,-,2019," 10,20,000","19,000 km",Diesel,Manual,"Sector 8B, Chandigarh, Chandigarh"
8432,Honda,City,i-VTEC S,2010," 3,35,000","72,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
8433,Hyundai,Creta,1.6 SX Plus Auto,2017," 11,70,000","70,000 km",Petrol,Automatic,"Airoli, Navi Mumbai, Maharashtra"
8434,Hyundai,i20,1.2 Magna Executive,2017," 6,25,000","24,500 km",Petrol,Manual,"MG Road, Indore, Madhya Pradesh"
8435,Honda,City,i-VTEC VX,2016," 6,55,999","58,058 km",Petrol,Manual,"Kankurgachhi, Kolkata, West Bengal"
8436,Maruti Suzuki,Ciaz,Smart Hybrid Alpha,2018," 7,74,000","48,000 km",Diesel,Manual,"Netaji Subhash Place, Delhi, Delhi"
8437,Hyundai,Getz Prime,1.1 GVS Option,2009," 1,60,000","38,000 km",Petrol,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
8438,Maruti Suzuki,Zen Estilo,LXI BS IV,2010," 1,65,000","64,000 km",Petrol,Manual,"Sector 37, Gurgaon, Haryana"
8439,Toyota,Innova,2004-2011 2.5 G4 Diesel 7-seater,2006," 2,95,000","124,000 km",Diesel,Manual,"Thane West, Thane, Maharashtra"
8440,Hyundai,i20,2012-2014 Magna Optional 1.2,2013," 3,25,000","63,000 km",Petrol,Manual,"Geeta Colony, Delhi, Delhi"
8441,Audi,A6,-,2016," 19,90,000","72,000 km",Petrol,Automatic,"Nandanam Nandanam, Chennai, Tamil Nadu"
8442,Maruti Suzuki,Alto 800,2012-2016 VXI,2016," 2,95,000","37,739 km",Petrol,Manual,"Andheri East, Mumbai, Maharashtra"
8443,Maruti Suzuki,Swift,-,2007," 2,85,000","38,000 km",Petrol,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
8444,Maruti Suzuki,Swift Dzire,1.2 Vxi BSIV,2015," 4,70,000","51,000 km",Petrol,Manual,"Preet Vihar, Delhi, Delhi"
8445,Chevrolet,Beat,Diesel LS,2013," 2,90,000","43,000 km",Diesel,Manual,"Banaswadi Kasturi Nagar, Bengaluru, Karnataka"
8446,Maruti Suzuki,Wagon R,2006-2010 LXI Minor,2008," 1,75,000","47,000 km",Petrol,Manual,"Moonnamkutty, Kollam, Kerala"
8447,Chevrolet,Cruze,LTZ,2013," 3,60,000","73,000 km",Diesel,Manual,"Tilak Nagar, Delhi, Delhi"
8448,Tata,Nano,2009-2011 Lx BSIV,2010," 64,000","75,000 km",Petrol,Manual,"Chelamattom, Perumbavoor, Kerala"
8449,Hyundai,Elite i20,Asta 1.2 (O),2019," 8,50,000","26,000 km",Petrol,Manual,"Indira Nagar, Bengaluru, Karnataka"
8450,Maruti Suzuki,Swift,2011-2014 VDI,2014," 4,45,000","32,500 km",Diesel,Manual,"Sector 37, Gurgaon, Haryana"
8451,Mahindra,Bolero,SLX,2009," 3,25,000","80,000 km",Diesel,Manual,"Moonnamkutty, Kollam, Kerala"
8452,Hyundai,Santro Xing,GLS,2010," 1,65,000","134,000 km",CNG & Hybrids,Manual,"Godhra GIDC, Godhra, Gujarat"
8453,Maruti Suzuki,Swift Dzire,LXI Option,2015," 4,35,000","48,000 km",Petrol,Manual,"Dwarka, Delhi, Delhi"
8454,Chevrolet,Cruze,2012 LTZ AT,2012," 2,95,000","78,000 km",Diesel,Automatic,"Dwarka, Delhi, Delhi"
8455,Toyota,Innova Crysta,2.8Z Automatic,2016," 14,99,000","112,000 km",Diesel,Automatic,"Kalkaji, Delhi, Delhi"
8456,Toyota,Fortuner,2011-2016 4x2 Manual,2014," 13,90,000","124,000 km",Diesel,Manual,"Kalkaji, Delhi, Delhi"
8457,BMW,3 Series,320d Sport,2011," 8,75,000","78,001 km",Diesel,Automatic,"Sector 19D, Chandigarh, Chandigarh"
8458,Ford,Ecosport,1.5 TDCi Titanium Plus,2013," 4,25,000","62,000 km",Diesel,Manual,"Ashok Vihar, Delhi, Delhi"
8459,Tata,Nano,2009-2011 Cx BSIV,2010," 78,000","57,000 km",Petrol,Manual,"BTM Layout, Bengaluru, Karnataka"
8460,Toyota,Etios Liva,1.2 VX,2012," 3,80,000","46,700 km",Petrol,Manual,"Umiya Chowk, Rajkot, Gujarat"
8461,Hyundai,EON,Era +,2017," 3,20,000","35,000 km",Petrol,Manual,"Kalase Nagar, Mohol, Maharashtra"
8462,Honda,Civic,V,2008," 2,35,000","62,000 km",Petrol,Manual,"Rajendra Place, Delhi, Delhi"
8463,Toyota,Innova Crysta,2.8Z Automatic,2016," 16,95,000","55,000 km",Diesel,Automatic,"Greater Noida West, Noida, Uttar Pradesh"
8464,Mahindra,Xylo,2009-2011 E4 BS IV,2010," 2,99,000","127,000 km",Diesel,Manual,"Pimpri Chinchwad, Pune, Maharashtra"
